Date,Close,SPX,QQQ,VIX,GOLD,TLT,DXY
2021-02-04,0.8174030678276959,0.1098280555465453,0.17006725298937836,0.9560886119466561,0.15509111099498965,0.12507186243515697,0.047570195023387794
2021-02-05,0.784083064243799,0.11483712060524703,0.17076619247105618,0.9470029636692386,0.1636563888306977,0.1240740326070151,0.04822990140196062
2021-02-06,0.7610288188331445,0.11232007709007269,0.16589930882235265,0.9261129314832013,0.16311448250457455,0.12426732542894162,0.04942297416312092
2021-02-07,0.7371689306364898,0.1091388711473985,0.16095353144046276,0.8788873300783573,0.1599576124789919,0.12315755803979826,0.04897258878491921
2021-02-08,0.7068147447004335,0.10615238848208654,0.1562495189140574,0.842364720263046,0.15693226608243277,0.12206392331194212,0.04853027416708107
2021-02-09,0.9795276701581619,0.10708275145950336,0.15362140902002172,0.8208651676976836,0.15647005804542383,0.12137521423799794,0.04818799379177831
2021-02-10,0.9350511654791142,0.10442985818803503,0.1493008402087091,0.805102468865994,0.15363172121881702,0.12032143682274696,0.0494040359816947
2021-02-11,0.9046262134320783,0.10178051376402956,0.14566047655057104,0.7920430211185909,0.1509975679781683,0.12015642549359909,0.048993737993729095
2021-02-12,0.9029720554980017,0.09933072937353443,0.14297423541608584,0.7996307385124062,0.1499860027986484,0.11967212090994277,0.04856248034782132
2021-02-13,0.8632332607511813,0.09842804578860904,0.1404987415561483,0.8570511130570991,0.14748198294302084,0.12161218963997203,0.04814541479728156
2021-02-14,0.8256538622955361,0.09612142159647301,0.13682958595211117,0.8256046763373442,0.14499092442984263,0.12054111435043431,0.047718019078621964
2021-02-15,0.8006043339129134,0.09396689006471196,0.13335325110284313,0.8016235395045154,0.14260966271656378,0.11948574121683024,0.04729838240738684
2021-02-16,0.76873115174044,0.09195652205143127,0.13006202744718473,0.7834677363523345,0.14033444178363688,0.11844589491882417,0.0468863986041811
2021-02-17,0.7424434711145287,0.09017513888824112,0.12767553944098312,0.8734503641593125,0.14233611404862415,0.12194893295699506,0.046484934671703226
2021-02-18,0.7489272497395366,0.08846917921984794,0.12665432211024755,0.8382880759500573,0.14488856303980277,0.1216722511288591,0.047373844624323966
2021-02-19,0.7178446653042904,0.08923038806806356,0.12540796786645672,0.8516963641626535,0.14252663373591523,0.12090084516821548,0.04787832479705464
