Date,BTC_vs_SPX,BTC_vs_QQQ,BTC_vs_VIX,BTC_vs_GOLD,BTC_vs_TLT
2021-04-04,0.3717477659070972,0.34140954313709543,-0.19743449525146506,-0.007268369460130875,-0.1126641920797661
2021-04-05,0.3802701839151626,0.346932729847886,-0.20689064819351477,-0.031101146965618148,-0.11408966123007805
2021-04-06,0.37834129593182386,0.34363280477407226,-0.20242115019427015,-0.06127598145954799,-0.116428967607055
2021-04-07,0.3706967962137229,0.3321419364715775,-0.17399143616113452,-0.06013678234544899,-0.09829362055716502
2021-04-08,0.3745222388235373,0.3438591872828757,-0.17573464761808832,-0.029356223127456112,-0.07032477390676294
2021-04-09,0.35092506597658474,0.3337435843923711,-0.19918125724963853,-0.08332869796575683,-0.10434528768920437
2021-04-10,0.34784094650695857,0.33218165146274814,-0.19788086353295656,-0.08177554709306524,-0.10145102254445768
2021-04-11,0.3478802207636697,0.3315625217808627,-0.19335437488612073,-0.07530117160027879,-0.08480301765021421
2021-04-12,0.35198473286339826,0.3250823327039172,-0.18252825319663493,-0.04874758686346823,-0.07287896380262578
2021-04-13,0.3558264909210368,0.3505840004735519,-0.1950788424883529,-0.0007711983211103262,-0.03898314358792484
2021-04-14,0.3582543805500907,0.3542155383466416,-0.19752082844680272,0.0051502181213770905,-0.03628144833287376
2021-04-15,0.3530663905916911,0.34942670172201423,-0.19763163692001898,0.0015628650328704194,-0.03872200636984322
2021-04-16,0.3413221665724334,0.3443519363991667,-0.1880970331812894,-0.017445184517661607,-0.02119224092786575
2021-04-17,0.3446170140547652,0.3469010248508779,-0.20783341931602345,-0.003779918353393919,-0.004474945485764307
2021-04-18,0.3407104393680441,0.3461551195216498,-0.20379096191109924,0.038250550473364786,-0.0323446639573618
2021-04-19,0.3411948715330052,0.3468820843735116,-0.20488887156211277,0.04258994724107258,-0.03299832559996256
2021-04-20,0.3594658893839129,0.37263022349751845,-0.18473949177225474,0.042327637323723855,0.03211507301414333
2021-04-21,0.3203973127692683,0.3461398026298673,-0.15162332115902835,0.01412346818681153,0.023329478478728415
2021-04-22,0.3415221890360271,0.3613310311059951,-0.173355931817569,0.031129896832493186,0.00969116044856457
2021-04-23,0.30549222184354674,0.3092648937341131,-0.13701400562822405,0.08675391319389562,-0.012761024790153515
2021-04-24,0.3183528795647305,0.3081229136722659,-0.1503009849340356,0.08507497858730487,-0.026314451896813595
2021-04-25,0.3145647907563023,0.30422859661497614,-0.14253078491020732,0.08858511405642046,-0.020425788257890428
2021-04-26,0.25529741722995974,0.2690819584679322,-0.03864397746726562,0.06260467466168793,-0.07785084365419237
2021-04-27,0.2489828605806532,0.2659419319962185,-0.0411380262072079,0.043743024769501426,-0.06898549755551907
2021-04-28,0.24931999795355483,0.2665563705964178,-0.04012135879768192,0.04496171953876423,-0.06929550220931416
2021-04-29,0.2350031786027488,0.26184205662505655,-0.045124527667501545,0.050498172329554045,-0.0637378701517945
2021-04-30,0.07366527519986135,0.1395972264742207,0.09422484124353295,0.06371835516921466,0.021812063261675646
2021-05-01,0.06251737270894656,0.12742158406043358,0.1002944648144142,0.07202924493999316,0.02231352310533993
2021-05-02,0.09727607159979101,0.18072709206497098,0.07397014335746048,0.09681279140448505,0.048066694314363605
2021-05-03,0.07021932281626866,0.1572157203192522,0.09420866042557705,0.08278709778642909,0.03374107388035412
2021-05-04,0.11613488798281088,0.22289584126202786,0.04284314762226265,0.12664264331878147,-0.004826203328308648
2021-05-05,0.10989346073678179,0.20112379480063727,0.030152012658211554,0.14133145033702976,0.003184088663575664
2021-05-06,0.1020342314783079,0.1963436867826,0.03624018817372725,0.11817548284264236,0.0018174631233112187
2021-05-07,0.1153759078722388,0.23042743100731963,0.01755233061290321,0.1387674534014275,0.005434577518850592
2021-05-08,0.08415379550623103,0.19298653994280798,0.03622105598402048,0.09024562048709166,-0.03739339318203117
2021-05-09,0.08092315868973116,0.19666122808393535,0.04474744062150919,0.08935033658367476,-0.04008109306117226
2021-05-10,0.10294913289406919,0.21844504714528493,-0.019448434286673234,0.08341110518604448,0.008135971497673842
2021-05-11,0.08866946752458879,0.21561092603057982,-0.011707740469673704,0.08011109008951299,-0.010473244680409097
2021-05-12,0.20515792613839234,0.2977999630010277,-0.10921231594018922,0.12883716777821227,0.06260561110463009
2021-05-13,0.20937005421259322,0.30182029229678226,-0.11668261719183441,0.12736942160802586,0.06445275884987822
2021-05-14,0.22710352981476079,0.31936639349798995,-0.13306716471501626,0.14420801425679677,0.08866695754941369
2021-05-15,0.22763436383580948,0.3114764619520692,-0.1279315553371652,0.14570612168956096,0.09233453126844242
2021-05-16,0.22555530647747507,0.30901285160215547,-0.12033224960626336,0.1544764799421161,0.11383742035530939
2021-05-17,0.22801390598188703,0.3187965543409946,-0.12263690784003098,0.09180160674725549,0.11611739093819246
2021-05-18,0.23094676617858007,0.3191611372553864,-0.12302411405690818,0.08986879183877435,0.11394891258163474
2021-05-19,0.23870153271268493,0.30754951081690124,-0.13192154229996583,0.0605639386599725,0.12610777668623233
2021-05-20,0.26881389732552663,0.3511223788535275,-0.15752099601915398,0.052583919625290874,0.17215374586994897
2021-05-21,0.2907824218202366,0.3986561218361263,-0.190623466359523,0.05643180926467577,0.20009332023291299
2021-05-22,0.2967511200754397,0.39999115559606624,-0.19665027716168354,0.06034009872519487,0.19909318200195997
2021-05-23,0.2875886293924234,0.3854841498788876,-0.18588537714796183,0.07067012643910905,0.21162538918819024
2021-05-24,0.3162179117925294,0.4129453985052405,-0.22781182596674154,0.07554961526877742,0.22084956575326004
2021-05-25,0.2718500754996177,0.39406797888812817,-0.209946636752274,0.06505231140322468,0.23880457167693817
2021-05-26,0.27380894207562195,0.3964156332565597,-0.2170665074003696,0.0670345716394136,0.23551480622851936
2021-05-27,0.2736082015131268,0.3976532983617969,-0.21362368559315922,0.07024744741363893,0.2379764200278863
2021-05-28,0.2766018617604429,0.39194555926975133,-0.24682649992246458,0.09730221266451383,0.27276042051656385
2021-05-29,0.2850043753229717,0.39952887144812343,-0.23893899251840237,0.13848241488715834,0.26620341586118634
2021-05-30,0.2817349745331056,0.3998631638412787,-0.23784388144224594,0.13527662718185338,0.26929417993662663
2021-05-31,0.27809132478110293,0.39837499372949553,-0.23748104664832712,0.1270827645964052,0.2763567074104728
2021-06-01,0.279090653985487,0.3992079251394613,-0.23790738274786624,0.12909994668462924,0.2767960044255207
2021-06-02,0.2796939477229815,0.40170458684436716,-0.24374103885832676,0.12742962307935374,0.2813149661723823
2021-06-03,0.26657242974402146,0.37385253585504674,-0.2326820057598965,0.05989793554818936,0.2640039738494386
2021-06-04,0.23526211325141166,0.32658431401618615,-0.19697422000933296,0.03644936688732366,0.19577176689291603
2021-06-05,0.23463883446777967,0.3258185921342807,-0.19539695312579802,0.04407965729919408,0.20415877421629425
