Date,BTC_vs_SPX,BTC_vs_VIX,BTC_vs_GOLD,BTC_vs_TLT,BTC_vs_DXY
2021-05-31,0.7992159816958968,0.8456667353305094,-0.728670020424464,-0.5996044111748586,0.7585990673639851
2021-06-01,0.7730871744677204,0.8436334063573904,-0.7351706639000956,-0.6069724277223912,0.740986085719412
2021-06-02,0.7348470880720949,0.8351111342383687,-0.7413670143316897,-0.613054049535244,0.7246036531332579
2021-06-03,0.6682723688861919,0.8098659561729844,-0.7343728634790463,-0.6175413554616745,0.7193088974337533
2021-06-04,0.633950508117372,0.7928142023872077,-0.7217401715348702,-0.6110437224381496,0.7245500126953118
2021-06-05,0.6064993701909867,0.7781688399618566,-0.7067551997224724,-0.6027848656123054,0.7245392249581951
2021-06-06,0.5658806298365715,0.7604053706601056,-0.7077613628793097,-0.5962635475370616,0.7194204535668529
2021-06-07,0.5124916623728841,0.7362515540165314,-0.7055236221904974,-0.5888615981541432,0.7115080301510402
2021-06-08,0.4850193996720241,0.7268545599990914,-0.7000434511754311,-0.5778693102211035,0.706336122129616
2021-06-09,0.44836485879432314,0.7164591488224814,-0.6945597647389232,-0.5657424825698875,0.6944909572854115
2021-06-10,0.42870375506670266,0.7128466313831916,-0.6848249031377586,-0.5516921684431773,0.6882097088074204
2021-06-11,0.4061066516532623,0.7073961753929379,-0.6749056484768955,-0.5410180191345735,0.6772772084196659
2021-06-12,0.3857839933943745,0.7023866819405908,-0.6616389565603568,-0.5270511045577687,0.6679994592514961
2021-06-13,0.3688464114828806,0.6969320906766049,-0.6444587186462964,-0.5157605340978441,0.6528175538694366
2021-06-14,0.3455963149545167,0.6935959974170218,-0.6119019809663628,-0.48041777815021597,0.6340228112597414
2021-06-15,0.3263613255730248,0.6899186301697788,-0.5737862259219322,-0.434039409721277,0.611027563447596
2021-06-16,0.308963686705968,0.6865018133385405,-0.527096562111001,-0.37729604638560515,0.5902240514238056
2021-06-17,0.29983421140841926,0.677414832901769,-0.3462933386822203,-0.3305874874648473,0.5645208745631188
2021-06-18,0.2943813490259176,0.6700292255139262,-0.2671313962710955,-0.26122196235023903,0.5339129528145335
2021-06-19,0.2970553985224467,0.6663267163368954,-0.24505483253679536,-0.19453559130156636,0.5022092227631424
2021-06-20,0.29856661366275095,0.6570961586892335,-0.24122525026608746,-0.17122724050162422,0.4642173056798864
2021-06-21,0.3047710853889262,0.6485656942419207,-0.20486636158305505,-0.10890922148166703,0.4317288957014166
2021-06-22,0.31978355007285103,0.6437604783402402,-0.17898653616923363,-0.05755192382086371,0.40229747010726047
2021-06-23,0.33821222857064587,0.6392645720663698,-0.16507918608160901,-0.01561366007643251,0.3669650693059131
2021-06-24,0.34562659790346767,0.6340046060491368,-0.1619501753612654,0.011170918442307387,0.31977175326743773
2021-06-25,0.34430811027841945,0.623913494790274,-0.14865507673553932,0.0382153316899062,0.2813650034957992
2021-06-26,0.3441197095769356,0.6115284497545347,-0.13870022924898326,0.0661792913539617,0.23438749047855015
2021-06-27,0.34475895338688234,0.597463986022686,-0.13480583610519928,0.08776163651275726,0.16681928229981852
2021-06-28,0.3454022805872948,0.581874710009642,-0.1375289271883031,0.10651170574047572,0.0824939632297083
2021-06-29,0.3522441165208803,0.5699537443851983,-0.1557472393265528,0.10095154039698265,0.06099555639026289
2021-06-30,0.3601249769949278,0.5570836929835375,-0.17599456964043045,0.09515462198432316,0.037189497725003
2021-07-01,0.36844812743259964,0.5429034349581969,-0.20014554020108366,0.09033570909562966,0.012964067342273183
2021-07-02,0.3818342289050804,0.5273490383235319,-0.22991407224248958,0.07460133697714326,-0.01756100979559801
2021-07-03,0.394535984122413,0.5148111670228084,-0.2701914683286576,0.041770972213462064,-0.029858631317817054
2021-07-04,0.3953147145394736,0.5052257991733476,-0.3165967624728189,-0.012675996937945347,-0.03679327218497679
2021-07-05,0.399840288950752,0.496048114608473,-0.3511276958742824,-0.07385617156394463,-0.03707295794022841
2021-07-06,0.408153698190043,0.4897451937901846,-0.38579748711214384,-0.13869018048088777,0.0058294562001806206
2021-07-07,0.42179760503420094,0.4822654030620981,-0.37288976993322726,-0.21459367810079824,0.09088070350229101
2021-07-08,0.4393107033745318,0.4711218895092279,-0.3547424696023906,-0.285624326677105,0.1663427265280873
2021-07-09,0.456182808704939,0.4625953592342673,-0.33834356947515953,-0.35280431379404864,0.22724148476162284
2021-07-10,0.4766919911620745,0.45751428848451764,-0.3280184384141998,-0.4270535237262953,0.29073113461415573
2021-07-11,0.4915301599627192,0.4541940069355201,-0.24956752094451828,-0.41910944609546225,0.3770352275092948
2021-07-12,0.5073997577690808,0.46043521363327355,-0.18410538896888312,-0.41352585605268766,0.4418821001466118
2021-07-13,0.5262952053590874,0.4726550826320911,-0.1235527062271247,-0.4097697521431677,0.48530134002074826
2021-07-14,0.5402401493255903,0.47682673505180734,-0.07008324852814722,-0.41389688374873873,0.5077016559408127
2021-07-15,0.5625842903683714,0.48939182052307584,-0.013276589783103513,-0.4130849772421211,0.5390584147451172
2021-07-16,0.572448223110785,0.4940338483401337,0.030951013530744666,-0.4156703732846332,0.5643295056526982
2021-07-17,0.5753714610416543,0.4904673169722508,0.07666961151574772,-0.41128169600080133,0.5877855810518067
2021-07-18,0.5574345796158389,0.4662230484029294,0.11654793780884698,-0.3876185145300949,0.593346224195786
2021-07-19,0.5035723683309938,0.4057560096414325,0.1611053566157792,-0.40578516338483855,0.5850702807460931
2021-07-20,0.42548634036484356,0.3290432693300339,0.2000501363571955,-0.4306713365237391,0.5886003710033876
2021-07-21,0.3590275914270377,0.2585503829824346,0.22822421103392515,-0.4569099459735477,0.5896235924929413
2021-07-22,0.2942023471542405,0.18555762136504442,0.2570612961162644,-0.4799783875598274,0.5976604753520007
2021-07-23,0.20529641603451082,0.09408318663449294,0.2910676339469022,-0.4962732347039023,0.5973996731488681
2021-07-24,0.1203209046796675,0.006662920256163558,0.31999402212898576,-0.5147312502295106,0.5983880908552249
2021-07-25,0.02752238626436518,-0.09414707146787407,0.35741058929648384,-0.5316351825921244,0.5956102293339807
2021-07-26,-0.06247841916882441,-0.19248864171074995,0.39425020583431253,-0.541396020926964,0.6022752907174814
2021-07-27,-0.1584362901835432,-0.3028960775949332,0.43071728474601123,-0.5485797157808139,0.6050957734609121
2021-07-28,-0.2617941479236277,-0.42395408346943514,0.4680843828009407,-0.5553392493783507,0.6095326318686994
2021-07-29,-0.36711851160894987,-0.5345249828384994,0.5009477332336286,-0.5514335068609618,0.6070902678196023
2021-07-30,-0.4805767142605621,-0.6546473814699546,0.5365495449818914,-0.5427383107670697,0.5997720568305389
2021-07-31,-0.5162707711110961,-0.6963048967168,0.5657884659877571,-0.531920294591961,0.6101624322041211
2021-08-01,-0.5393281891925819,-0.7167160152797595,0.5982766041644149,-0.5177106893848678,0.6218410235187476
2021-08-02,-0.5435024534356663,-0.7104167719421774,0.6172476763659842,-0.49543842204210065,0.6263747722072649
2021-08-03,-0.5538965004869123,-0.7084023752154239,0.6355344442456243,-0.47517848887894304,0.6213313152020749
2021-08-04,-0.5650008867395026,-0.7059306593520634,0.6557743371939484,-0.44886819385787247,0.6162552368977566
2021-08-05,-0.5739145853905623,-0.6995925259672919,0.6855988236302002,-0.4200167441265329,0.6110152674939273
2021-08-06,-0.5722616840565515,-0.6866052235243584,0.7134243981361327,-0.3889117505146881,0.6138271363345088
2021-08-07,-0.5682964789307265,-0.6796081295878059,0.7259206168584307,-0.3727542745065368,0.620935796468221
2021-08-08,-0.5512385560192014,-0.6478019295218002,0.7419787499573012,-0.338400906462732,0.6427680105011265
2021-08-09,-0.5247574760399153,-0.6039485900282099,0.7452039371120415,-0.30591268906093194,0.661575381718632
2021-08-10,-0.48873546164425863,-0.5437978366986987,0.7449944751187592,-0.259383695018108,0.6677311098567924
2021-08-11,-0.45483894802325214,-0.4906745627001473,0.740042397286201,-0.2073626295854012,0.6718319388894561
2021-08-12,-0.41402273158130215,-0.4439812603678254,0.7372980323726223,-0.15659423790576704,0.6769530035308786
2021-08-13,-0.377421372014068,-0.40605526661093166,0.7383264955822978,-0.11971684444308003,0.6790071415983034
2021-08-14,-0.3407106600601654,-0.36925461927327036,0.7414526589534478,-0.07924113773902401,0.6912137946207659
2021-08-15,-0.29599114759471074,-0.3266876445057311,0.7463743248336524,-0.022986671471752127,0.6896060421679989
2021-08-16,-0.25319244198153223,-0.2802575502838647,0.7290592645069053,0.018271605060730937,0.6839645818290668
2021-08-17,-0.22570747741233838,-0.25578179269122886,0.7114380294614264,0.04260773391098124,0.6686727369049854
2021-08-18,-0.2055285616976886,-0.2466102547519459,0.6980277025786653,0.06622440503881526,0.6618031740569933
2021-08-19,-0.1837502275305842,-0.23714742383670118,0.6852059193599933,0.08859332387750171,0.6547294096817152
2021-08-20,-0.18317569311008405,-0.24769530987321065,0.6664890629345841,0.08083198831810418,0.6315137155208365
2021-08-21,-0.184356392352501,-0.2641815866169554,0.6439315705213509,0.07445340433078407,0.6021033443428808
2021-08-22,-0.1836249162102025,-0.2800518228227763,0.6210220768821355,0.0709338189538311,0.5724462860173596
2021-08-23,-0.1769062394720578,-0.2885462307608818,0.5943367183349828,0.08326615799924869,0.5226817762214226
2021-08-24,-0.17392209440476514,-0.30095789235124126,0.5677149470524411,0.07401623327421723,0.47311129735017077
2021-08-25,-0.17137728574812208,-0.3151578340018848,0.5379910184401472,0.060872327174728215,0.4202203325537693
2021-08-26,-0.17388625540886266,-0.3334202979284878,0.5151863987895877,0.048830966175637175,0.38558786835521075
2021-08-27,-0.18165102743692926,-0.3521318798132211,0.4876741812379193,0.02305446060804541,0.34206610757660016
2021-08-28,-0.18542020778658883,-0.36183563356654064,0.45703857565764333,0.008293355612227268,0.29845522774314864
2021-08-29,-0.185879947862916,-0.3628178157512598,0.42396709377951564,0.0007794847311594688,0.23652795931151108
2021-08-30,-0.19401370701080334,-0.3618703838992443,0.38297716171322443,-0.015249214904226331,0.19244749553080018
2021-08-31,-0.2132310468069431,-0.3612744297489998,0.3335499965689234,-0.04152097207646536,0.10762203842649964
2021-09-01,-0.22655139653014386,-0.35542462723102347,0.28594234428651527,-0.06335973894185774,0.031254046366827194
2021-09-02,-0.236847247198283,-0.35309957770683753,0.23571126221603875,-0.0432221866106071,-0.05395125842512488
2021-09-03,-0.25032758264410665,-0.3473280433984335,0.16647742791002162,-0.036311602918898275,-0.16629657997082248
2021-09-04,-0.25862138550141867,-0.3455665714882859,0.08233336413418899,-0.044220677983485654,-0.2470969396486111
2021-09-05,-0.27114506556083323,-0.34204920129052035,0.14765357562669426,-0.04365470431846112,-0.20832942694302695
2021-09-06,-0.2470628653881205,-0.3351447978623828,0.22090072539659378,0.0050637022496719105,-0.1278596915658483
2021-09-07,-0.2867453560346026,-0.3718159434013422,0.313266477021585,-0.05492369821228448,-0.06937238814936575
2021-09-08,-0.3334847935219223,-0.4208095831330694,0.43056051203593576,-0.12229051002188052,-0.026694255577495662
2021-09-09,-0.33621753798594545,-0.42640300899038674,0.4758111270672002,-0.12480020375555999,0.007542893928246942
2021-09-10,-0.33414894722322214,-0.4245648140023697,0.5287306529199771,-0.1243162515041606,0.05256454024011187
2021-09-11,-0.335270204026553,-0.4248567759758306,0.575944499576635,-0.12903220452649208,0.056192827531650925
2021-09-12,-0.34330183149839877,-0.43112282239064575,0.6093112274685009,-0.14040562436247703,0.00552471852841825
2021-09-13,-0.3677424528278349,-0.44427828152626775,0.6023025519164353,-0.15093977331472325,-0.031561319915390275
2021-09-14,-0.38911819789817104,-0.4566734124261093,0.5875854605137203,-0.15900151622101794,-0.07342994645829645
2021-09-15,-0.43227257121411694,-0.5011952019082163,0.568560747873909,-0.17476603696630336,-0.10307268976764343
2021-09-16,-0.47830610158384274,-0.5458465773216898,0.5554339984438659,-0.19876586406854835,-0.11549763296969705
2021-09-17,-0.49227511803365875,-0.5646382821324468,0.530689457519706,-0.17966856899805647,-0.11915539373097572
2021-09-18,-0.4731122134700177,-0.5644341589212474,0.49866562672368764,-0.13894093439543317,-0.1559227464596575
2021-09-19,-0.45387388242730103,-0.5500866877217361,0.47577499907595644,-0.10171413003852453,-0.16924272670270146
2021-09-20,-0.3862415759724666,-0.48793538367002404,0.4327624548434369,-0.0475068233484251,-0.23445485682062137
2021-09-21,-0.32293461725277833,-0.4277271652708186,0.4032471409346238,0.002691880709073176,-0.29608416410927596
2021-09-22,-0.21731215859873762,-0.29852517950534757,0.3630065075758108,0.056807353372104026,-0.36311216489330256
2021-09-23,-0.07485141005318,-0.1559546443088626,0.32115585738079244,0.19099114262485048,-0.40090237367172327
2021-09-24,0.039691044688859214,-0.03912166869778609,0.29712300918359336,0.29817969029859476,-0.4191790175230121
2021-09-25,0.12330957101230243,0.04547638001368959,0.2921373666736771,0.37809106983286944,-0.43138788522263044
2021-09-26,0.20658348352056988,0.12118564673883199,0.2749981828874188,0.4639881706965836,-0.45345052176084233
2021-09-27,0.24477413930798705,0.14040137803861524,0.2530007837379326,0.505601719630417,-0.46148744131141156
2021-09-28,0.27880748952385687,0.16266532886484372,0.2399702278804512,0.5369295571662176,-0.46470953330277487
2021-09-29,0.30869128707620047,0.18282478875640867,0.22824541796469758,0.567871353007269,-0.46340506767052686
2021-09-30,0.34544335746611615,0.2090338572186343,0.2318260180766724,0.6006779709476991,-0.4596748097257583
2021-10-01,0.42290674010878204,0.2660766583852011,0.243117844842711,0.6445941351638282,-0.44169264970943034
2021-10-02,0.4837803880268685,0.3132715464692767,0.2583877391361722,0.6758132751971596,-0.43016107893154437
2021-10-03,0.5362883730060797,0.3509068195914788,0.2677443299526635,0.7012872418684093,-0.42743065562759747
2021-10-04,0.5765299559642734,0.3818559056069416,0.27232246705554847,0.7215535609566514,-0.42380676344172563
2021-10-05,0.6137647206604655,0.41274257226702604,0.27825652841745696,0.758076677160202,-0.4040346767080507
2021-10-06,0.654780849566725,0.44600804321993687,0.24269640955370175,0.7945736214753389,-0.3841072974602489
2021-10-07,0.684047109292586,0.4693662495353006,0.20764206357158999,0.8088957706641522,-0.37698048745851764
2021-10-08,0.7048159001963605,0.4862983453661389,0.18729557383704007,0.8228102070040123,-0.36716900350520226
2021-10-09,0.7199879923556444,0.49513777124466124,0.1758591452787299,0.8328011052734691,-0.36467091976985194
2021-10-10,0.7137342421005215,0.4851446170003743,0.19125555781405482,0.8325546262706753,-0.37011242659712473
2021-10-11,0.6967560007913101,0.4754481724229348,0.20917672672873994,0.827263105952273,-0.37431793966240395
2021-10-12,0.6842948645165422,0.477610053313579,0.2267007364706842,0.8092558016908727,-0.3718389104705905
2021-10-13,0.6776949007077145,0.48345594616651877,0.24334568166489662,0.8045557061467525,-0.37092324949202804
2021-10-14,0.6464375517420321,0.48305831945668415,0.2730866264883455,0.796153759268165,-0.3691355857487523
2021-10-15,0.6247145573656896,0.48349198263648957,0.3073644050426054,0.7907816421513434,-0.36611793723137365
2021-10-16,0.6086862778263742,0.4867917228399372,0.33969390667300847,0.7865402035258087,-0.36232761729093316
2021-10-17,0.587362302336077,0.48464762415377755,0.35638454646305057,0.7796840104732753,-0.3619029415135242
2021-10-18,0.5722568493372363,0.48469308226044844,0.37362699541455485,0.7776681516343759,-0.353228791724127
2021-10-19,0.5594335401748269,0.48839700233028704,0.3880299242324842,0.7682519355517122,-0.32151132989525844
2021-10-20,0.5485955955652745,0.49531450182638753,0.42193780190648084,0.7549599560890271,-0.28873880574470595
2021-10-21,0.5389792725479235,0.5021463963452142,0.4608059533667118,0.7440777455162271,-0.25830304581065183
2021-10-22,0.5291558837556516,0.5070715948293439,0.5227473750531508,0.7291811803102335,-0.21624212595392542
2021-10-23,0.5200822726105536,0.5119622054330364,0.5814757156106664,0.7153409685485055,-0.17990676727508673
2021-10-24,0.5158028612455758,0.5142851829235267,0.6589939316941842,0.703769933073977,-0.1387579907897303
2021-10-25,0.5146572931786916,0.5216584203128968,0.6716143343576568,0.6928579895432043,-0.10640599253446728
2021-10-26,0.5154530494684827,0.5405289269294125,0.6918107605578827,0.6766567042519251,-0.0577691220719804
2021-10-27,0.5154865613914652,0.5589999348461349,0.7143966820224381,0.6513954239808154,-0.008604513941700243
2021-10-28,0.5120741885032999,0.5810742926005386,0.7088178483072952,0.6275733261404931,0.03462041430739097
2021-10-29,0.5096722588489518,0.5998288464082063,0.6986626408586033,0.6066519473384959,0.032797867657724585
2021-10-30,0.50737269689426,0.6185928555494001,0.6879453842472464,0.5860400066436674,0.030058357182947474
2021-10-31,0.5078360314631365,0.6410202738848702,0.6748613398617535,0.5620152335962662,0.020806177551975998
2021-11-01,0.5088788481920516,0.6838921777764823,0.6418663210912822,0.5251730646622729,0.006874376214266192
2021-11-02,0.5098804834230966,0.7283983755889984,0.6297648159696209,0.4925240631512311,0.009563297830241967
2021-11-03,0.5172509313982048,0.7748846057541816,0.6103751610160542,0.4494757538145982,0.009404645308721033
2021-11-04,0.5335758917549148,0.8265317180358542,0.5870497316397989,0.3869727955971082,-0.03831776995839988
2021-11-05,0.5466372073497443,0.8762094224655953,0.5360148819056731,0.28854722708869013,-0.12131335662617515
2021-11-06,0.5800734217677272,0.8810368069515793,0.525364569724836,0.28418074709639274,-0.18346449321596073
2021-11-07,0.6065527458933696,0.8851109437801233,0.517614871607214,0.2831239456139948,-0.22844039434951902
2021-11-08,0.6208130695893236,0.8877664689357585,0.5124399174412385,0.2863435041958255,-0.2570760011548635
2021-11-09,0.6350452754451112,0.8905166550543934,0.5114490411430536,0.2901127804429784,-0.28307804152239274
2021-11-10,0.6483068509374877,0.8932047161172502,0.5003793625591163,0.24179972905060154,-0.3361997271098665
2021-11-11,0.6661776758507669,0.8944339567952776,0.4912684265732821,0.20612366548041658,-0.3866956579381277
2021-11-12,0.6808702165979366,0.8928503249101394,0.48348646883930335,0.16873674348053883,-0.42914382526844497
2021-11-13,0.699097458602048,0.892003921382375,0.4832507355113985,0.13973695724734828,-0.46257872390915833
2021-11-14,0.7128658591145213,0.8904010116594616,0.47959888036461684,0.10601171427700525,-0.49805974724125335
2021-11-15,0.7259809208038848,0.8895076605272604,0.48303809998279346,0.04793110674309717,-0.5372012781977467
2021-11-16,0.7379123355088789,0.8914682999955741,0.4795477238466381,0.03790300593962631,-0.5606171977603579
2021-11-17,0.7529883862286867,0.8925914803137681,0.4677795063819531,0.022921451000593767,-0.5827342749667876
2021-11-18,0.7647597550259877,0.8946068362410458,0.471454431449,0.007586491255292999,-0.597344324447581
2021-11-19,0.781700667947753,0.8980092777619294,0.4663828649168487,0.021559439780854884,-0.6001432152464611
2021-11-20,0.7979435939582787,0.9008710185920219,0.4571790384379905,0.04286334229994263,-0.5997161929361214
2021-11-21,0.8191590815404052,0.9030922500669271,0.4443833025773542,0.0947643910363182,-0.5934760387476302
2021-11-22,0.8335777629859125,0.9035437325336083,0.35931772327587863,0.06294767262684187,-0.5908560567503109
2021-11-23,0.8501178471810509,0.9045894824306664,0.2921826078242083,0.011930457204249687,-0.5876671194582557
2021-11-24,0.8639775408130312,0.9044559950962141,0.2520081750985079,-0.041398013629825224,-0.583192098619653
2021-11-25,0.8774003940392852,0.9037454844682336,0.22307663699331257,-0.08115472058527932,-0.577188362564221
2021-11-26,0.8776201093388739,0.8763111144067832,0.22761819462706354,-0.07610646728697298,-0.5585551688466291
2021-11-27,0.8768756986975512,0.8530214948802487,0.2299565891925108,-0.0834301088655292,-0.5407494688178163
2021-11-28,0.8742845033329698,0.817213267466846,0.2309750933103632,-0.10020314311509791,-0.5352099577076739
2021-11-29,0.8673639920784092,0.7616997301447397,0.20731060025552392,-0.11018207020728778,-0.5276159740473333
2021-11-30,0.8508139453447952,0.694938686959451,0.15478469100194664,-0.13421831594384656,-0.5271069595605912
2021-12-01,0.8310353625664089,0.6328856791404008,0.09392505327641709,-0.15647290128527558,-0.5262661419629683
2021-12-02,0.8060997869509074,0.5762336457812377,0.021600967697550787,-0.17087399674899287,-0.5251026517454199
2021-12-03,0.7840997123189611,0.534440586756355,-0.05461255734572298,-0.15178870563477037,-0.5253583771991946
2021-12-04,0.7757151825642346,0.5204952706747666,-0.1347087171329896,-0.11360614565091842,-0.5159642676093292
2021-12-05,0.7725375087633605,0.5126356804860845,-0.11100180560441086,-0.0898364617291785,-0.5105581556526974
2021-12-06,0.7732496300753486,0.5120164523848709,-0.08411859619639234,-0.06584600862344141,-0.5088648875481807
2021-12-07,0.7801581525298416,0.5223181210264294,-0.06126486091976329,-0.036704476467527385,-0.516295941118396
2021-12-08,0.7939223972307022,0.5342091876740296,-0.03458635359088403,-0.007984360168608975,-0.5344585004021332
2021-12-09,0.7985216052214513,0.5567207896990447,0.0017204888031789806,0.06550625015198328,-0.5232011143209432
2021-12-10,0.7888227070492024,0.5629407353725543,0.04981268289840317,0.1187533702383522,-0.511309876176605
2021-12-11,0.7956615404467408,0.5920289815487592,0.0973224852918874,0.16564859575814422,-0.489016139579468
2021-12-12,0.803708900315952,0.6187210141441829,0.028609085163724075,0.22305691180113132,-0.4796077520717368
2021-12-13,0.8150822255841659,0.6445018141971772,-0.10043949832409794,0.2733325767381848,-0.46288073709316385
2021-12-14,0.8226286884326253,0.6730559454433256,-0.21235816040000302,0.32262717211351316,-0.44777929925539417
2021-12-15,0.833905921013247,0.70590207717122,-0.32879951709036803,0.3842058180444347,-0.42674459075323284
2021-12-16,0.8386229008383901,0.7173451207101105,-0.36274228424876703,0.39666957992843693,-0.4312972053613804
2021-12-17,0.8450278144465727,0.7299168403192297,-0.37751068351992606,0.4190583997894071,-0.4279613368885337
2021-12-18,0.8459699252006093,0.7423854555222636,-0.3875444610097206,0.43466217413735647,-0.42824183288429873
2021-12-19,0.8475072793435182,0.7501403243693301,-0.38975422194190346,0.4408151665664648,-0.43752770925762324
2021-12-20,0.8502942167791575,0.7562760467768732,-0.39259032581591474,0.44023297574662146,-0.45343570304457437
2021-12-21,0.8561062285131511,0.7593320706264262,-0.3937999312983447,0.42545159328699683,-0.4668769160504792
2021-12-22,0.8610241655572802,0.7627884582020201,-0.40546541134252984,0.4132926220462837,-0.4758334797112724
2021-12-23,0.8692858461960206,0.767942886485946,-0.4240864295825645,0.3926495226123446,-0.48720068436754227
2021-12-24,0.8625819526248177,0.7763377701211889,-0.4101448229511951,0.4050580934069359,-0.4980413935370399
